#\tilde{\Omega};Ω̃
\to;→
\le;≤
\ge;≥
\dots;…
\parr;⅋
\colon;:
\vert;|
# --------- brackets --------------
\left \{;{
\right \};}
\big(;(
\big);)
\bigg);)
\bigg);)
\Big(;(
\Big);)
\left(;(
\right);)
\left[;[
\right];]
\bigl \{;{
\bigr \};}
# ---------- functions -------------
\arccos
\arcsin
\arctan
\cos
\cosh
\cot
\coth
\csc
\deg
\det
\dim
\exp
\gcd
\hom
\inf
\ker
\lg
\lim
\liminf
\limsup
\ln
\log
\max
\min
\sec
\sin
\sinh
\sup
\tan
\tanh
\mod
# ---------- special letters -------
\tilde{O};Õ
\tilde{o};õ
\RightTriangleBar;⧐;029D0
\multimapboth;⧟;029DF
\blacklozenge;⧫;029EB
\setminus;⧵;029F5
\zhide;⧹;029F9
\bigodot;⨀;02A00
\bigoplus;⨁;02A01
\bigotimes;⨂;02A02
\biguplus;⨄;02A04
\bigsqcap;⨅;02A05
\bigsqcup;⨆;02A06
\varprod;⨉;02A09
\iiiint;⨌;02A0C
\fint;⨏;02A0F
\sqint;⨖;02A16
\Join;⨝;02A1D
\zcmp;⨟;02A1F
\zpipe;⨠;02A20
\zproject;⨡;02A21
\fcmp;⨾;02A3E
\amalg;⨿;02A3F
\doublebarwedge;⩞;02A5E
\dsub;⩤;02A64
\rsub;⩥;02A65
\Coloneqq;⩴;02A74
\Equal;⩵;02A75
\Same;⩶;02A76
\leqslant;⩽;02A7D
\geqslant;⩾;02A7E
\lessapprox;⪅;02A85
\gtrapprox;⪆;02A86
\lneq;⪇;02A87
\gneq;⪈;02A88
\lnapprox;⪉;02A89
\gnapprox;⪊;02A8A
\lesseqqgtr;⪋;02A8B
\gtreqqless;⪌;02A8C
\eqslantless;⪕;02A95
\eqslantgtr;⪖;02A96
\NestedLessLess;⪡;02AA1
\NestedGreaterGreater;⪢;02AA2
\leftslice;⪦;02AA6
\rightslice;⪧;02AA7
\preceq;⪯;02AAF
\succeq;⪰;02AB0
\preceqq;⪳;02AB3
\succeqq;⪴;02AB4
\precapprox;⪷;02AB7
\succapprox;⪸;02AB8
\precnapprox;⪹;02AB9
\succnapprox;⪺;02ABA
\llcurly;⪻;02ABB
\ggcurly;⪼;02ABC
\subseteqq;⫅;02AC5
\supseteqq;⫆;02AC6
\subsetneqq;⫋;02ACB
\supsetneqq;⫌;02ACC
\Top;⫪;02AEA
\Bot;⫫;02AEB
\interleave;⫴;02AF4
\biginterleave;⫼;02AFC
\sslash;⫽;02AFD
\talloblong;⫾;02AFE
\blacksquare;⬛;02B1B
\square;⬜;02B1C
\mathbf{A};𝐀;1D400
\mathbf{B};𝐁;1D401
\mathbf{C};𝐂;1D402
\mathbf{D};𝐃;1D403
\mathbf{E};𝐄;1D404
\mathbf{F};𝐅;1D405
\mathbf{G};𝐆;1D406
\mathbf{H};𝐇;1D407
\mathbf{I};𝐈;1D408
\mathbf{J};𝐉;1D409
\mathbf{K};𝐊;1D40A
\mathbf{L};𝐋;1D40B
\mathbf{M};𝐌;1D40C
\mathbf{N};𝐍;1D40D
\mathbf{O};𝐎;1D40E
\mathbf{P};𝐏;1D40F
\mathbf{Q};𝐐;1D410
\mathbf{R};𝐑;1D411
\mathbf{S};𝐒;1D412
\mathbf{T};𝐓;1D413
\mathbf{U};𝐔;1D414
\mathbf{V};𝐕;1D415
\mathbf{W};𝐖;1D416
\mathbf{X};𝐗;1D417
\mathbf{Y};𝐘;1D418
\mathbf{Z};𝐙;1D419
\mathbf{a};𝐚;1D41A
\mathbf{b};𝐛;1D41B
\mathbf{c};𝐜;1D41C
\mathbf{d};𝐝;1D41D
\mathbf{e};𝐞;1D41E
\mathbf{f};𝐟;1D41F
\mathbf{g};𝐠;1D420
\mathbf{h};𝐡;1D421
\mathbf{i};𝐢;1D422
\mathbf{j};𝐣;1D423
\mathbf{k};𝐤;1D424
\mathbf{l};𝐥;1D425
\mathbf{m};𝐦;1D426
\mathbf{n};𝐧;1D427
\mathbf{o};𝐨;1D428
\mathbf{p};𝐩;1D429
\mathbf{q};𝐪;1D42A
\mathbf{r};𝐫;1D42B
\mathbf{s};𝐬;1D42C
\mathbf{t};𝐭;1D42D
\mathbf{u};𝐮;1D42E
\mathbf{v};𝐯;1D42F
\mathbf{w};𝐰;1D430
\mathbf{x};𝐱;1D431
\mathbf{y};𝐲;1D432
\mathbf{z};𝐳;1D433
\mathbfit{A};𝑨;1D468
\mathbfit{B};𝑩;1D469
\mathbfit{C};𝑪;1D46A
\mathbfit{D};𝑫;1D46B
\mathbfit{E};𝑬;1D46C
\mathbfit{F};𝑭;1D46D
\mathbfit{G};𝑮;1D46E
\mathbfit{H};𝑯;1D46F
\mathbfit{I};𝑰;1D470
\mathbfit{J};𝑱;1D471
\mathbfit{K};𝑲;1D472
\mathbfit{L};𝑳;1D473
\mathbfit{M};𝑴;1D474
\mathbfit{N};𝑵;1D475
\mathbfit{O};𝑶;1D476
\mathbfit{P};𝑷;1D477
\mathbfit{Q};𝑸;1D478
\mathbfit{R};𝑹;1D479
\mathbfit{S};𝑺;1D47A
\mathbfit{T};𝑻;1D47B
\mathbfit{U};𝑼;1D47C
\mathbfit{V};𝑽;1D47D
\mathbfit{W};𝑾;1D47E
\mathbfit{X};𝑿;1D47F
\mathbfit{Y};𝒀;1D480
\mathbfit{Z};𝒁;1D481
\mathbfit{a};𝒂;1D482
\mathbfit{b};𝒃;1D483
\mathbfit{c};𝒄;1D484
\mathbfit{d};𝒅;1D485
\mathbfit{e};𝒆;1D486
\mathbfit{f};𝒇;1D487
\mathbfit{g};𝒈;1D488
\mathbfit{h};𝒉;1D489
\mathbfit{i};𝒊;1D48A
\mathbfit{j};𝒋;1D48B
\mathbfit{k};𝒌;1D48C
\mathbfit{l};𝒍;1D48D
\mathbfit{m};𝒎;1D48E
\mathbfit{n};𝒏;1D48F
\mathbfit{o};𝒐;1D490
\mathbfit{p};𝒑;1D491
\mathbfit{q};𝒒;1D492
\mathbfit{r};𝒓;1D493
\mathbfit{s};𝒔;1D494
\mathbfit{t};𝒕;1D495
\mathbfit{u};𝒖;1D496
\mathbfit{v};𝒗;1D497
\mathbfit{w};𝒘;1D498
\mathbfit{x};𝒙;1D499
\mathbfit{y};𝒚;1D49A
\mathbfit{z};𝒛;1D49B
\mathcal{A};𝒜;1D49C
\mathcal{C};𝒞;1D49E
\mathcal{D};𝒟;1D49F
\mathcal{G};𝒢;1D4A2
\mathcal{J};𝒥;1D4A5
\mathcal{K};𝒦;1D4A6
\mathcal{N};𝒩;1D4A9
\mathcal{O};𝒪;1D4AA
\mathcal{P};𝒫;1D4AB
\mathcal{Q};𝒬;1D4AC
\mathcal{S};𝒮;1D4AE
\mathcal{T};𝒯;1D4AF
\mathcal{U};𝒰;1D4B0
\mathcal{V};𝒱;1D4B1
\mathcal{W};𝒲;1D4B2
\mathcal{X};𝒳;1D4B3
\mathcal{Y};𝒴;1D4B4
\mathcal{Z};𝒵;1D4B5
\mathcal{a};𝒶;1D4B6
\mathcal{b};𝒷;1D4B7
\mathcal{c};𝒸;1D4B8
\mathcal{d};𝒹;1D4B9
\mathcal{f};𝒻;1D4BB
\mathcal{h};𝒽;1D4BD
